param n := 100;

param c:	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	:=
1	0	18.8252770681316	93.2310047747012	9.52989568816766	9.54986310123417	260.918681154721	59.3190460728074	21.9262285478761	39.7403755078106	87.4311063309506	18.5905705579729	247.980000404378	59.4813775438594	14.2753905585332	81.2784470697694	32.5503643659784	35.2572691199553	519.110070986802	14.0815936576003	22.4014017573149	288.680476526302	67.7116622720046	13.7747597662679	56.840295377434	93.3887400852036	172.203779068534	247.05864443069	19.1669678827708	254.33198037353	64.4491191940683	140.78478449413	791.190261268757	50.3499580232957	513.584001639719	29.2769063212912	92.8845185062354	309.789611410951	119.579234787071	93.7624500699478	96.0407756947221	84.2141570965322	688.28815609536	134.213318203609	118.575314231271	107.147259885718	747.365588766482	272.475665189865	85.2116639161655	737.968899124731	97.2998932366295	69.8876117385053	242.254986243772	74.2045626410676	326.64438480368	407.724364601708	91.8273997124138	288.331918746686	52.0616837140264	416.34687738989	94.0208972762791	57.9330414913725	645.346115939879	380.783290743089	378.897923832691	499.387315823249	187.071933113951	117.086405681555	94.6969359478107	241.675075846181	463.146536729862	670.105012208421	562.728981813164	300.317405044006	256.476679966197	249.169488046014	301.408576822203	101.358820218566	32.9353518815204	532.699937182478	328.327385657158	344.193172276423	575.564480686837	140.60135919771	372.790862236924	676.457310022075	478.661654319421	24.7341503096159	390.546299329139	247.671430088921	307.681544323557	508.780117456685	82.1516753949085	274.989736721757	617.727923951582	309.802468136051	54.198709030151	182.982058308372	87.2281231948209	722.867167488043	120.697834452846	
2	18.8252770681316	0	92.1614797612836	11.8667385022435	20.1250806631101	246.042400468152	40.5004426927361	11.1720291223264	20.9736691514219	86.9956787380522	18.8102209067489	239.258766652848	76.3715543015241	22.2746613043499	63.1256397630961	18.6174288829741	17.7075680388333	525.252845743227	4.74995267732476	9.35323592740901	275.397794124545	75.845051864579	29.6766618325911	38.2614617085538	94.3780856608989	190.808847678963	230.438184458774	10.4144508184702	239.411635834724	73.5854316603003	159.609360199138	794.68290120716	60.8308056359814	496.439947998466	12.5699093909197	91.2256136340598	298.603325363398	137.257852942578	93.3863416014126	96.6703603535385	84.0690612347067	703.318820487632	153.038466486214	137.013674490895	110.160399656408	749.629557085742	258.473893348842	103.446956550089	754.502039947535	103.681480365316	71.3900167439588	226.14671920699	75.619871663017	330.147398259452	390.693044535272	91.8729123527603	274.791417805712	70.7573920899553	421.614817969961	112.382392956814	71.5629586902525	661.014000592865	363.397798019027	361.055346282613	482.552552059278	175.989373717324	100.878623705791	77.7138604951543	226.445696720349	445.338543851276	683.365551613875	545.532619123203	287.810166866629	238.373523690113	231.458390928761	288.886836401837	102.169072243968	51.5676196617166	541.550403114055	310.326843363604	362.859903356122	558.718999285996	159.391828879323	354.914695615861	683.31108808526	466.574608170457	43.1410340366852	372.747963438233	232.735588196151	293.937804633118	493.812674700089	94.0425937180131	260.311845765767	630.702496708392	297.675353196193	69.6001975377788	166.599650481439	105.292028639437	727.34730071658	125.625234559527	
3	93.2310047747012	92.1614797612836	0	97.3373714242312	83.6919242947422	314.955304113867	101.140512452025	103.325008003166	93.2075424430242	6.29133225104771	76.1083307124307	326.069909696972	90.9542329040007	107.044428877131	128.333769747987	77.2885996351289	102.874719888282	611.365795739454	92.2811010198	101.447310039643	350.273117435259	45.7618866295946	105.232963941244	107.948905724419	10.2722173857712	220.059878627451	289.644541667948	102.181836194823	308.310690804467	50.4478470833701	180.019722774375	884.409458309188	142.266315626258	545.058251939473	101.554981596981	2.970382862337	379.616983536167	134.723948157923	3.54470045473426	9.28953435641831	9.63578686797267	758.683188215765	174.779368585851	175.738302373315	27.0527400867686	840.492806430481	330.932791890214	118.601726129534	798.724265625098	190.302058160981	24.8074350282059	288.997778760178	21.0079790862668	419.875364924708	441.996182754963	5.53312685817818	348.717603643157	119.269915180698	509.167112724261	126.63372867371	70.7935273424955	712.400891305878	411.818102287596	404.228633974248	534.196740168916	259.341328619107	171.872135604401	148.012004576486	294.241182074575	487.26070417492	748.259449687536	593.069583759372	365.129180574352	282.310585566128	280.801492926247	366.142182760781	13.3064340974829	108.680335264158	621.994612509536	352.783782087657	381.580702839447	609.42832189277	175.796450773429	397.798046466499	768.026993181079	543.442126791506	106.115209372182	416.2156980759	301.769061022177	366.701241383296	558.164364771023	65.5294672239378	329.77179871474	697.069494043769	376.040714899483	79.761644029257	230.792542619419	117.346278332724	815.898458645088	213.90166990201	
4	9.52989568816766	11.8667385022435	97.3373714242312	0	16.1353174731287	251.419814091103	51.6122573905042	12.4009136655203	32.4276769285997	91.787325076861	21.2323049281386	239.647164141836	69.0062448007084	11.1749340132404	72.3028882596337	29.2133533170469	26.3083583749276	516.903079344059	7.70181007253411	13.0191674098208	279.359339046127	75.3161324361224	17.8703091857272	48.3196573629574	98.3929562704992	179.48342371616	237.566507427361	9.63715092071082	244.829861154022	72.3682513911313	148.998386634001	787.678355900372	50.1488980337163	504.148757111651	20.2141227804353	96.7236783739686	300.861617011006	128.964861807632	98.178857337679	100.904437581848	88.678590787789	691.689882110081	142.406088698555	125.5515537884	113.042444334428	743.270913759377	263.05774408798	94.4052149530184	742.652523691912	94.9045589909337	74.9551398647215	232.730978410384	79.2706911429716	323.061253855639	398.274014200007	96.4182368013291	278.974044895711	59.6944805238256	413.667799316225	103.1257372312	67.0727837483174	649.266290554182	371.400788871254	369.65144499458	489.90835215123	178.122915123506	107.579597818669	85.2970656707394	232.156207836485	453.88254188259	672.190685060284	553.301856956259	291.124468070868	247.360649383215	239.889705155604	292.213249765984	106.323187458467	40.4989394652959	531.984813250925	319.151203915728	351.58756231499	566.085506059814	149.063860183176	363.557827854979	674.645171014077	469.56724145418	31.9055922669782	381.282674312716	238.167922132306	298.298887826423	499.283186530444	90.9534923542065	265.506193599584	619.61209081801	300.681190427256	63.6393961027534	173.475923911814	96.5039972324174	719.832947191674	117.608805068938	
5	9.54986310123417	20.1250806631101	83.6919242947422	16.1353174731287	0	265.826372985642	58.7994068313705	27.2638366105466	39.2659878938859	77.882984907985	10.5050759310835	255.765474575918	56.3605497931813	23.675764693331	82.9874314466077	28.0361956726505	37.8253624930818	528.468815212916	16.2219053678892	26.9059738851264	294.566240784031	59.2007890735636	22.3405228822509	57.8208673978536	83.8614099551037	175.032206597839	250.560684268168	24.8024136577847	259.207965098342	56.2342808951244	142.092942880181	800.722079820084	59.467942026967	516.53319408679	32.4262796937387	83.3659674614457	316.689041100411	117.450863491056	84.2128891786539	86.5034231632277	74.664534134597	694.952174721344	135.586161763659	122.018969402156	97.7811934642541	756.915333073616	277.945785170542	84.1809307252772	743.541106808374	106.760854522996	60.3570161208572	246.221034988266	64.6758291966544	336.184496441954	410.802259278226	82.2784133385249	294.074616587504	55.2055806845635	425.793422812649	93.2605321902013	51.8614568478496	651.602006148971	383.449878048327	380.942197537155	502.674391766901	193.952426512814	120.938216212373	97.8387572544577	246.33037222685	465.23584288017	677.682854587923	565.616762652055	306.609185572931	258.119205185057	251.423115239707	307.693485762809	91.8301421001339	36.8432562952202	541.645304869012	330.128809837122	346.646723341173	578.839885539798	141.384748712428	374.784517386036	685.722163229468	485.189441135675	29.7311730287484	392.655634481301	252.535163297121	313.312624908872	513.651815723843	75.173263597767	280.034093428293	625.434424335337	316.280807788864	49.4965696669384	186.701091935567	85.8307352805072	732.355221657716	130.221359022789	
6	260.918681154721	246.042400468152	314.955304113867	251.419814091103	265.826372985642	0	217.089051864935	239.118175375193	231.781597036661	312.792718284457	263.787646602522	106.339620249346	320.084252943379	251.374525040753	188.804148770501	249.428414207233	228.555872223317	501.854166664823	249.610928183822	239.071219513337	44.5414879307735	318.82019330986	262.22923190382	212.941058110788	322.306277771951	400.553469119161	44.4525613151805	241.821405940221	6.67945705131298	317.636406156111	383.860649352581	714.097759091464	255.964497305327	265.027918766296	233.506848602212	312.528930413927	91.4352819467781	377.726943422474	317.86082863277	323.203576117871	311.300770903368	800.526080454016	377.558518594672	350.300444231089	340.701961018288	655.568748598039	22.2944960845118	341.986800629238	879.111877821476	242.207333886362	305.032539337092	34.1235459209947	308.231333324334	310.36613902065	161.538014788749	317.838441131729	40.3315178014112	300.357654828029	402.249940874415	349.613433997504	317.597152355283	772.151874395856	143.87391427383	154.911660335579	247.297633040372	93.8423241966803	146.073428825225	170.295972693097	20.8613146116186	229.526450997938	751.000884299551	313.831002710155	64.6278633876994	95.1609278627482	78.2154503384805	65.1695578845431	328.131146308014	284.480394862249	553.772711291797	121.856137792269	561.626762484326	322.415220418008	386.681413781131	150.931027182827	654.964066777938	231.302887093791	276.655750039421	163.474210738601	13.3419561387219	53.8174463650922	247.864154204368	339.561357244274	14.8496884728518	696.971850951614	77.1181278750523	315.009894337492	84.368191390526	344.752748093942	663.641041350663	235.423959587835	
7	59.3190460728074	40.5004426927361	101.140512452025	51.6122573905042	58.7994068313705	217.089051864935	0	42.3192260810982	19.6534233675655	97.8826854410817	52.2650889582034	225.993289482318	114.417499850419	59.7007093484286	28.28559299623	34.2667724791598	27.2129544907696	541.641533119625	45.250078614443	40.2854637407331	250.313371643825	102.459547588915	69.2540965716824	9.30668301747357	107.077208899598	231.095514348041	196.803128188673	44.501866539266	210.409635563335	101.847302369802	200.083527881521	804.90174279501	93.4191335502521	460.614231445948	32.8553462833935	99.1444523066607	278.514894978745	175.756965391811	103.581057432931	108.43534217493	95.9124656817885	736.973340771366	193.518512196578	177.131620513854	125.166719388125	757.346435386817	231.70741571907	142.969225773339	790.990124717412	127.105192053522	88.1653238653753	194.001710770055	91.5599521182169	342.328286630261	355.313351364061	103.065347800276	249.05251711741	111.197602995761	436.695506089265	152.059852337368	105.846672562537	695.915434862046	327.12775391786	323.545661874342	447.534539639758	158.445983281987	71.6006151339317	47.3511210872423	196.746316596661	407.830139421979	713.60835086445	509.525850896089	264.562441867407	200.345726862998	194.637281170473	265.591935162574	113.715521729559	91.9916101165575	563.347324354717	272.45035490517	403.198631036623	523.587196925899	199.763417956108	317.320711568117	700.719959896438	443.252316908516	83.4733263411867	335.343957873846	203.766315708673	267.504239030969	463.442787345038	124.796428237705	231.747386682598	660.452892090532	275.278159459834	106.087604068129	134.415818630722	144.555392705139	739.760127486251	145.26943930841	
8	21.9262285478761	11.1720291223264	103.325008003166	12.4009136655203	27.2638366105466	239.118175375193	42.3192260810982	0	24.7753326964391	98.134906679429	28.9906888581329	229.217359454629	81.4065140493061	17.4801454048212	60.6711992403723	28.776572139095	15.3943191497028	514.784476988231	11.9605036810848	2.49568462763011	267.375933653602	85.525029100107	27.8144512412675	37.6522640358387	105.43950864114	189.554086257279	225.181671431827	2.79087626815808	232.521422414156	82.9391406483498	160.131355216613	783.741138084557	53.0248355545975	491.812817118102	9.46783289419893	102.397087494808	289.500291887147	141.275400995658	104.528672526129	107.761217486321	95.191075663317	696.756082346878	153.525457671569	135.404177064719	121.036287446725	738.563356853898	250.909507672091	106.561362144243	749.319661611645	93.6756822423547	82.3521319010345	220.330253425735	86.6042015290407	319.251329781946	385.924434685815	102.993796691696	266.928777397102	70.5579533772374	410.98532505328	115.196684537088	78.9812238703312	654.996343039455	359.120247681167	357.522668737522	477.532837911858	166.777394095513	95.1855955023943	73.0243842374571	219.80869058933	441.730645966682	675.589818723318	540.973506813181	279.349096392668	235.398527429753	227.731096709436	280.433877634968	113.253833567445	51.5442713994904	531.819974166202	307.107942210502	361.661690758386	553.709787361662	160.458777099021	351.444897343899	672.987911591321	457.928026133276	42.8571353199981	369.133695791976	225.856644138679	286.209722884374	486.981836164264	102.428028906747	253.235544715657	622.76973699285	289.018409781332	75.8948551832694	161.08155604319	108.730048217446	716.546597787376	115.159668596716	
9	39.7403755078106	20.9736691514219	93.2075424430242	32.4276769285997	39.2659878938859	231.781597036661	19.6534233675655	24.7753326964391	0	89.0064906503221	33.4934370948518	233.135951928764	95.2429274761821	41.4354331532215	44.7242290467638	17.7941411500783	12.5388307764005	534.858472801864	25.7156315658699	22.4257715413471	263.223996549358	87.0980717969105	50.2599210586699	19.3296078312367	97.5754263432772	211.76978469411	213.668205997518	26.4586536928616	225.112449302564	85.8603051411499	180.456715677693	801.269414031359	77.6559408764698	478.597699210885	15.9767982360556	91.6582437510695	289.087145249605	156.527054920617	95.1417677510127	99.3774839551085	86.5595542660997	721.49983218608	173.896235887628	157.929069771318	114.920735763605	754.924505398403	245.385853370165	123.441671186561	773.988554771788	115.892257625369	76.4624971324039	210.164500039038	80.3022195797603	337.409717375039	373.07703600819	94.1626243607844	262.273059407479	91.7305360381135	430.476691557628	132.501044499702	87.7921693615904	679.770840516692	345.2680764359	342.20946768438	465.166944325267	167.376813527743	85.7175749953734	61.6203666777942	211.753633508241	426.509771202922	699.91724802217	527.594719680753	276.621673285813	219.182779465743	212.950011845413	277.675563823691	104.847401666186	72.5410502346232	553.891623003725	291.252045365169	383.830433337269	541.284087166754	180.111160197122	336.017876483826	693.504893819452	455.542065031855	64.0967420515108	353.966757971139	218.439912281282	281.085161778739	479.005493943895	108.110555341447	246.281472578053	647.005023539963	286.949870948035	87.3400123972851	150.45304641541	125.091159533102	735.028169744768	136.005899679342	
10	87.4311063309506	86.9956787380522	6.29133225104771	91.787325076861	77.882984907985	312.792718284457	97.8826854410817	98.134906679429	89.0064906503221	0	70.558485454987	322.092853436099	84.9121783988805	101.334124522522	125.423331079865	72.6793666718283	98.2877176509247	605.274047848736	86.9321688430544	96.3177303945759	347.628370661551	39.9679655120026	99.2730768322422	104.356443090653	9.585716101692	214.420523474195	288.21860323002	96.9036756646134	306.13634865186	44.5509535362699	174.523357683757	878.545761646362	136.240799475783	544.833100907285	96.7193599681821	7.59719993035748	376.380186645479	129.824778200956	6.40213422439107	10.553002176825	3.36109585821453	752.655227398598	169.214569831349	169.726072228285	27.9904882981975	834.77591056285	328.484649446284	112.858963774719	793.013355791582	184.37102547539	18.5483999298301	287.281089120645	14.7166800507565	414.048793017549	441.462200055338	5.19315308983441	346.160182227055	112.985687000869	503.159644499117	120.994284103389	64.7807306472587	706.466308455092	411.464772669523	404.254999730266	533.727938929878	255.708358375912	169.020758946004	145.010071167222	292.130790771317	487.485202510738	742.046306654	592.962961550296	362.264222170598	282.007088326351	280.098402103115	363.284666662599	15.8970191452447	102.418864009797	615.745515515155	352.770597387516	376.624562889354	609.086670128093	170.419665812197	397.835558014137	761.871451042528	540.750693690863	99.9224186049064	416.238382520504	299.569867300954	364.275170035186	556.664496290566	60.6426710647202	327.588469076908	690.833466601944	373.081057917312	73.6562468534696	228.780532829022	111.686410657872	809.934877631128	208.040275213171	
